"","metacyc","detail","V3"
"107","PWY-5345"," superpathway of L-methionine biosynthesis (by sulfhydrylation)","Super-Pathways"
"108","PWY-5347"," superpathway of L-methionine biosynthesis (transsulfuration)","Super-Pathways"
"109","PWY-5367"," petroselinate biosynthesis","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Unsaturated-Fatty-Acids-Biosynthesis"
"110","PWY-5384"," sucrose degradation IV (sucrose phosphorylase)","Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|SUCROSE-DEG"
"111","PWY-5484"," glycolysis II (from fructose 6-phosphate)","Energy-Metabolism|GLYCOLYSIS-VARIANTS"
"112","PWY-561"," superpathway of glyoxylate cycle and fatty acid degradation","Energy-Metabolism"
"113","PWY-5659"," GDP-mannose biosynthesis","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|GDP-Sugar-Biosynthesis"
"114","PWY-5667"," CDP-diacylglycerol biosynthesis I","Biosynthesis|Lipid-Biosynthesis|Phospholipid-Biosynthesis|CDP-diacylglycerol-Biosynthesis"
"115","PWY-5675"," nitrate reduction V (assimilatory)","Degradation|Noncarbon-Nutrients|NITROGEN-DEG|Nitrate-Reduction"
"116","PWY-5676"," acetyl-CoA fermentation to butanoate II","Energy-Metabolism|Fermentation|Acetyl-CoA-Butyrate"
"117","PWY-5686"," UMP biosynthesis I","Biosynthesis|Nucleotide-Biosynthesis|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn|Pyrimid-Ribonucleot-De-Novo-Biosyn"
"118","PWY-5695"," inosine 5-phosphate degradation","Biosynthesis|Polyamine-Biosynthesis"
"119","PWY-5705"," allantoin degradation to glyoxylate III","Degradation|AMINE-DEG|Allantoin-degradation"
"120","PWY-5723"," Rubisco shunt","Energy-Metabolism"
"121","PWY-5837"," 2-carboxy-1,4-naphthoquinol biosynthesis","Biosynthesis|Cofactor-Biosynthesis|Quinone-Biosynthesis|DHNA-Biosynthesis"
"122","PWY-5897"," superpathway of menaquinol-11 biosynthesis","Super-Pathways"
"123","PWY-5898"," superpathway of menaquinol-12 biosynthesis","Super-Pathways"
"124","PWY-5899"," superpathway of menaquinol-13 biosynthesis","Super-Pathways"
"125","PWY-5913"," partial TCA cycle (obligate autotrophs)","Energy-Metabolism|TCA-VARIANTS"
"126","PWY-5918"," superpathway of heme b biosynthesis from glutamate","Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis|HEME-SYN"
"127","PWY-5920"," superpathway of heme b biosynthesis from glycine","Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis|HEME-SYN"
"128","PWY-5941"," glycogen degradation II","Degradation|Polymer-Degradation|POLYSACCHARIDES-DEG|Glycogen-Degradation"
"129","PWY-5971"," palmitate biosynthesis (type II fatty acid synthase)","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Palmitate-Biosynthesis"
"130","PWY-5973"," cis-vaccenate biosynthesis","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Unsaturated-Fatty-Acids-Biosynthesis"
"131","PWY-5981"," CDP-diacylglycerol biosynthesis III","Biosynthesis|Lipid-Biosynthesis|Phospholipid-Biosynthesis|CDP-diacylglycerol-Biosynthesis"
"132","PWY-5989"," stearate biosynthesis II (bacteria and plants)","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Stearate-Biosynthesis"
"133","PWY-6121"," 5-aminoimidazole ribonucleotide biosynthesis I","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|AIR-Biosynthesis"
"134","PWY-6122"," 5-aminoimidazole ribonucleotide biosynthesis II","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|AIR-Biosynthesis"
"135","PWY-6123"," inosine-5-phosphate biosynthesis I","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Ribonuc-De-Novo-Biosynthesis|IMP-Biosynthesis"
"136","PWY-6124"," inosine-5-phosphate biosynthesis II","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Ribonuc-De-Novo-Biosynthesis|IMP-Biosynthesis"
"137","PWY-7204"," pyridoxal 5-phosphate salvage II (plants)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Vitamin-B6-Biosynthesis"
"138","PWY-7234"," inosine-5-phosphate biosynthesis III","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis|Purine-Ribonuc-De-Novo-Biosynthesis|IMP-Biosynthesis"
"139","PWY-7237"," myo-, chiro- and scyllo-inositol degradation","Degradation|SECONDARY-METABOLITE-DEGRADATION|Sugar-Derivatives|SUGAR-ALCOHOLS-DEG"
"140","PWY-7238"," sucrose biosynthesis II","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|Sucrose-Biosynthesis"
"141","PWY-7242"," D-fructuronate degradation","Degradation|CARBOXYLATES-DEG|SUGAR-ACIDS-DEG"
"142","PWY-724"," superpathway of L-lysine, L-threonine and L-methionine biosynthesis II","Biosynthesis|Amino-Acid-Biosynthesis"
"143","PWY-7282"," 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Thiamine-Biosynthesis"
"144","PWY-7315"," dTDP-N-acetylthomosamine biosynthesis","Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis"
"145","PWY-7316"," dTDP-N-acetylviosamine biosynthesis","Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis"
"146","PWY-7323"," superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|GDP-Sugar-Biosynthesis"
"147","PWY-7328"," superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis","Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis|O-Antigen-Biosynthesis"
"148","PWY-7345"," superpathway of anaerobic sucrose degradation","Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|SUCROSE-DEG"
"149","PWY-7356"," thiamine diphosphate salvage IV (yeast)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Thiamine-Biosynthesis|Thiamin-Salvage"
"150","PWY-7357"," thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Thiamine-Biosynthesis"
"151","PWY-7388"," octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis"
"152","PWY-7400"," L-arginine biosynthesis IV (archaebacteria)","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ARGININE-SYN"
"153","PWY-7409"," phospholipid remodeling (phosphatidylethanolamine, yeast)","Biosynthesis|Lipid-Biosynthesis|Phospholipid-Biosynthesis|PhosphatidylethanolamineBiosynthesis"
"154","PWY-7456"," &beta;-(1,4)-mannan degradation","Degradation|Polymer-Degradation|POLYSACCHARIDES-DEG"
"155","PWY-7560"," methylerythritol phosphate pathway II","Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Terpenoid-Biosynthesis|ISOPRENOIDS|Isopentenyl-Diphosphate-Biosynthesis"
"156","PWY-7663"," gondoate biosynthesis (anaerobic)","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Unsaturated-Fatty-Acids-Biosynthesis"
"157","PWY-7664"," oleate biosynthesis IV (anaerobic)","Biosynthesis|Lipid-Biosynthesis|Fatty-acid-biosynthesis|Unsaturated-Fatty-Acids-Biosynthesis|Oleate-Biosynthesis"
"158","PWY-7688"," dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",NA
"159","PWY-7761"," NAD salvage pathway II (PNC IV cycle)",NA
"160","PWY-7790"," UMP biosynthesis II",NA
"161","PWY-7791"," UMP biosynthesis III",NA
"162","PWY-7851"," coenzyme A biosynthesis II (eukaryotic)",NA
"163","PWY-7858"," (5Z)-dodecenoate biosynthesis II",NA
"164","PWY-7953"," UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)",NA
"165","PWY-7977"," L-methionine biosynthesis IV",NA
"166","PWY-8004"," Entner-Doudoroff pathway I",NA
"167","PWY-8073"," lipid IVA biosynthesis (P. putida)",NA
"168","PWY-8178"," pentose phosphate pathway (non-oxidative branch) II",NA
"169","PWY-8187"," L-arginine degradation XIII (reductive Stickland reaction)",NA
"170","PWY-821"," superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)","Biosynthesis|Amino-Acid-Biosynthesis"
"171","PWY-822"," fructan biosynthesis","Biosynthesis|Carbohydrates-Biosynthesis|Polysaccharides-Biosynthesis"
"172","PWY-841"," superpathway of purine nucleotides de novo biosynthesis I","Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|Purine-Nucleotide-De-Novo-Biosynthesis"
"173","PWY-I9"," L-cysteine biosynthesis VI (from L-methionine)",NA
"174","PWY0-1061"," superpathway of L-alanine biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|ALANINE-SYN"
"175","PWY0-1241"," ADP-L-glycero-&beta;-D-manno-heptose biosynthesis","Biosynthesis|Carbohydrates-Biosynthesis|CARBO-BIOSYNTHESIS|SUGAR-NUCLEOTIDES|ADP-Sugar-Biosynthesis"
"176","PWY0-1261"," anhydromuropeptides recycling I","Degradation|SECONDARY-METABOLITE-DEGRADATION|Sugar-Derivatives"
"177","PWY0-1296"," purine ribonucleosides degradation","Degradation|NUCLEO-DEG|Purine-Degradation"
"178","PWY0-1297"," superpathway of purine deoxyribonucleosides degradation","Degradation|NUCLEO-DEG"
"179","PWY0-1298"," superpathway of pyrimidine deoxyribonucleosides degradation","Super-Pathways"
"180","PWY0-1319"," CDP-diacylglycerol biosynthesis II","Biosynthesis|Lipid-Biosynthesis|Phospholipid-Biosynthesis|CDP-diacylglycerol-Biosynthesis"
"181","PWY0-1337"," oleate &beta;-oxidation","Degradation|Fatty-Acid-and-Lipid-Degradation|Fatty-Acid-Degradation"
"182","PWY0-1338"," polymyxin resistance","Biosynthesis|Cell-Structure-Biosynthesis|Lipopolysaccharide-Biosynthesis"
"183","PWY0-1415"," superpathway of heme b biosynthesis from uroporphyrinogen-III","Biosynthesis|Cofactor-Biosynthesis|Porphyrin-Compounds-Biosynthesis|HEME-SYN"
"184","PWY0-1477"," ethanolamine utilization","Degradation|AMINE-DEG"
"185","PWY0-1479"," tRNA processing","Biosynthesis|Nucleotide-Biosynthesis|Nucleic-Acid-Processing"
"186","PWY0-1533"," methylphosphonate degradation I","Degradation|Noncarbon-Nutrients|Phosphorus-Compounds|Methylphosphonate-Degradation"
"187","PWY0-1586"," peptidoglycan maturation (meso-diaminopimelate containing)","Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Peptidoglycan-Biosynthesis"
"188","PWY0-162"," superpathway of pyrimidine ribonucleotides de novo biosynthesis","Biosynthesis|Nucleotide-Biosynthesis|PYR-NUC-SYN|Pyrimidine-De-Novo-Biosyn|Pyrimid-Ribonucleot-De-Novo-Biosyn"
"189","PWY0-166"," superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)","Super-Pathways"
"190","PWY0-301"," L-ascorbate degradation I (bacterial, anaerobic)","Degradation|CARBOXYLATES-DEG|Ascorbate-Degradation"
"191","PWY0-42"," 2-methylcitrate cycle I","Degradation|CARBOXYLATES-DEG|Propionate-Degradation|Methyl-Citrate-Cycle"
"192","PWY0-461"," L-lysine degradation I","Degradation|Amino-Acid-Degradation|Proteinogenic-Amino-Acids-Degradation|LYSINE-DEG"
"193","PWY0-845"," superpathway of pyridoxal 5-phosphate biosynthesis and salvage","Super-Pathways"
"194","PYRIDOXSYN-PWY"," pyridoxal 5-phosphate biosynthesis I","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Vitamin-B6-Biosynthesis"
"195","RHAMCAT-PWY"," L-rhamnose degradation I","Degradation|Carbohydrates-Degradation|Sugars-And-Polysaccharides-Degradation|L-rhamnose-Degradation"
"196","RIBOSYN2-PWY"," flavin biosynthesis I (bacteria and plants)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Flavin-Biosynthesis"
"197","SALVADEHYPOX-PWY"," adenosine nucleotides degradation II","Degradation|NUCLEO-DEG|Purine-Degradation|Adenosine-Nucleotides-Degradation"
"198","SER-GLYSYN-PWY"," superpathway of L-serine and glycine biosynthesis I","Biosynthesis|Amino-Acid-Biosynthesis"
"199","SO4ASSIM-PWY"," assimilatory sulfate reduction I","Super-Pathways"
"200","SULFATE-CYS-PWY"," superpathway of sulfate assimilation and cysteine biosynthesis","Super-Pathways"
"201","TCA-GLYOX-BYPASS"," superpathway of glyoxylate bypass and TCA",NA
"202","TCA"," TCA cycle I (prokaryotic)",NA
"203","THISYNARA-PWY"," superpathway of thiamine diphosphate biosynthesis III (eukaryotes)","Biosynthesis|Cofactor-Biosynthesis|Vitamin-Biosynthesis|Thiamine-Biosynthesis"
"204","THRESYN-PWY"," superpathway of L-threonine biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|THREONINE-BIOSYNTHESIS"
"205","TRNA-CHARGING-PWY"," tRNA charging","Metabolic-Clusters"
"206","UDPNAGSYN-PWY"," UDP-N-acetyl-D-glucosamine biosynthesis I","Biosynthesis|Polyamine-Biosynthesis|UDP-NAc-Glucosamine-Biosynthesis"
"207","VALSYN-PWY"," L-valine biosynthesis","Biosynthesis|Amino-Acid-Biosynthesis|IND-AMINO-ACID-SYN|VALINE-BIOSYNTHESIS"
